CA_Number,PR_Number,PR_MU_Number,CA_Short_Name,PR_Short_Name,MU_Short_Name,HR_Flag,PR_MU
484,8,1,Quilly Spt,QUILUT,quilsw,1,8_1
351,14,5,LCROrT Spt,COLRIV,claklw,NA,14_5
351,14,6,LCROrT Spt,COLRIV,colrlh,NA,14_6
351,14,4,LCROrT Spt,COLRIV,clakew,NA,14_4
102,16,1,No Cal Trm,ORECAL,oresoh,NA,16_1
102,16,2,No Cal Trm,ORECAL,oresow,NA,16_2
102,16,3,No Cal Trm,ORECAL,calnoh,1,16_3
102,16,4,No Cal Trm,ORECAL,calnow,1,16_4
102,16,5,No Cal Trm,ORECAL,calcnh,NA,16_5
102,16,6,No Cal Trm,ORECAL,calcnw,NA,16_6
103,16,1,Cn Cal Trm,ORECAL,oresoh,NA,16_1
103,16,2,Cn Cal Trm,ORECAL,oresow,NA,16_2
103,16,3,Cn Cal Trm,ORECAL,calnoh,NA,16_3
103,16,4,Cn Cal Trm,ORECAL,calnow,NA,16_4
103,16,5,Cn Cal Trm,ORECAL,calcnh,1,16_5
103,16,6,Cn Cal Trm,ORECAL,calcnw,1,16_6
201,16,1,So Ore Trm,ORECAL,oresoh,1,16_1
201,16,2,So Ore Trm,ORECAL,oresow,1,16_2
201,16,3,So Ore Trm,ORECAL,calnoh,NA,16_3
201,16,4,So Ore Trm,ORECAL,calnow,NA,16_4
201,16,5,So Ore Trm,ORECAL,calcnh,NA,16_5
201,16,6,So Ore Trm,ORECAL,calcnw,NA,16_6
202,15,1,Or Prv Trm,OREGON,orecsh,NA,15_1
202,15,2,Or Prv Trm,OREGON,orecsw,NA,15_2
202,15,3,Or Prv Trm,OREGON,orenoh,NA,15_3
202,15,4,Or Prv Trm,OREGON,orenow,NA,15_4
202,15,5,Or Prv Trm,OREGON,orenmh,NA,15_5
202,15,6,Or Prv Trm,OREGON,orenmw,NA,15_6
202,15,7,Or Prv Trm,OREGON,oresmh,NA,15_7
202,15,8,Or Prv Trm,OREGON,oresmw,NA,15_8
202,15,9,Or Prv Trm,OREGON,oranah,1,15_9
202,15,10,Or Prv Trm,OREGON,oraqah,1,15_10
203,15,1,SMi Or Trm,OREGON,orecsh,NA,15_1
203,15,2,SMi Or Trm,OREGON,orecsw,NA,15_2
203,15,3,SMi Or Trm,OREGON,orenoh,NA,15_3
203,15,4,SMi Or Trm,OREGON,orenow,NA,15_4
203,15,5,SMi Or Trm,OREGON,orenmh,NA,15_5
203,15,6,SMi Or Trm,OREGON,orenmw,NA,15_6
203,15,7,SMi Or Trm,OREGON,oresmh,1,15_7
203,15,8,SMi Or Trm,OREGON,oresmw,1,15_8
203,15,9,SMi Or Trm,OREGON,oranah,NA,15_9
203,15,10,SMi Or Trm,OREGON,oraqah,NA,15_10
204,15,1,NMi Or Trm,OREGON,orecsh,NA,15_1
204,15,2,NMi Or Trm,OREGON,orecsw,NA,15_2
204,15,3,NMi Or Trm,OREGON,orenoh,NA,15_3
204,15,4,NMi Or Trm,OREGON,orenow,NA,15_4
204,15,5,NMi Or Trm,OREGON,orenmh,1,15_5
204,15,6,NMi Or Trm,OREGON,orenmw,1,15_6
204,15,7,NMi Or Trm,OREGON,oresmh,NA,15_7
204,15,8,NMi Or Trm,OREGON,oresmw,NA,15_8
204,15,9,NMi Or Trm,OREGON,oranah,NA,15_9
204,15,10,NMi Or Trm,OREGON,oraqah,NA,15_10
205,15,1,No Ore Trm,OREGON,orecsh,NA,15_1
205,15,2,No Ore Trm,OREGON,orecsw,NA,15_2
205,15,3,No Ore Trm,OREGON,orenoh,1,15_3
205,15,4,No Ore Trm,OREGON,orenow,1,15_4
205,15,5,No Ore Trm,OREGON,orenmh,NA,15_5
205,15,6,No Ore Trm,OREGON,orenmw,NA,15_6
205,15,7,No Ore Trm,OREGON,oresmh,NA,15_7
205,15,8,No Ore Trm,OREGON,oresmw,NA,15_8
205,15,9,No Ore Trm,OREGON,oranah,NA,15_9
205,15,10,No Ore Trm,OREGON,oraqah,NA,15_10
206,15,1,Or Cst Trm,OREGON,orecsh,NA,15_1
206,15,2,Or Cst Trm,OREGON,orecsw,NA,15_2
206,15,3,Or Cst Trm,OREGON,orenoh,NA,15_3
206,15,4,Or Cst Trm,OREGON,orenow,NA,15_4
206,15,5,Or Cst Trm,OREGON,orenmh,NA,15_5
206,15,6,Or Cst Trm,OREGON,orenmw,NA,15_6
206,15,7,Or Cst Trm,OREGON,oresmh,NA,15_7
206,15,8,Or Cst Trm,OREGON,oresmw,NA,15_8
206,15,9,Or Cst Trm,OREGON,oranah,NA,15_9
206,15,10,Or Cst Trm,OREGON,oraqah,NA,15_10
311,14,1,Buoy10 Spt,COLRIV,colreh,1,14_1
311,14,2,Buoy10 Spt,COLRIV,youngh,1,14_2
311,14,3,Buoy10 Spt,COLRIV,sandew,1,14_3
311,14,4,Buoy10 Spt,COLRIV,clakew,1,14_4
311,14,5,Buoy10 Spt,COLRIV,claklw,1,14_5
311,14,6,Buoy10 Spt,COLRIV,colrlh,1,14_6
321,14,1,L ColR Spt,COLRIV,colreh,1,14_1
321,14,2,L ColR Spt,COLRIV,youngh,1,14_2
321,14,3,L ColR Spt,COLRIV,sandew,1,14_3
321,14,4,L ColR Spt,COLRIV,clakew,1,14_4
321,14,5,L ColR Spt,COLRIV,claklw,1,14_5
321,14,6,L ColR Spt,COLRIV,colrlh,1,14_6
325,14,1,L ColR Net,COLRIV,colreh,1,14_1
325,14,2,L ColR Net,COLRIV,youngh,1,14_2
325,14,3,L ColR Net,COLRIV,sandew,1,14_3
325,14,4,L ColR Net,COLRIV,clakew,1,14_4
325,14,5,L ColR Net,COLRIV,claklw,1,14_5
325,14,6,L ColR Net,COLRIV,colrlh,1,14_6
335,14,1,Yngs B Net,COLRIV,colreh,NA,14_1
335,14,2,Yngs B Net,COLRIV,youngh,1,14_2
335,14,3,Yngs B Net,COLRIV,sandew,NA,14_3
335,14,4,Yngs B Net,COLRIV,clakew,NA,14_4
335,14,5,Yngs B Net,COLRIV,claklw,NA,14_5
335,14,6,Yngs B Net,COLRIV,colrlh,NA,14_6
353,14,1,Clackm Spt,COLRIV,colreh,NA,14_1
353,14,2,Clackm Spt,COLRIV,youngh,NA,14_2
353,14,3,Clackm Spt,COLRIV,sandew,NA,14_3
353,14,4,Clackm Spt,COLRIV,clakew,1,14_4
353,14,5,Clackm Spt,COLRIV,claklw,1,14_5
353,14,6,Clackm Spt,COLRIV,colrlh,NA,14_6
354,14,1,SandyR Spt,COLRIV,colreh,NA,14_1
354,14,2,SandyR Spt,COLRIV,youngh,NA,14_2
354,14,3,SandyR Spt,COLRIV,sandew,1,14_3
354,14,4,SandyR Spt,COLRIV,clakew,NA,14_4
354,14,5,SandyR Spt,COLRIV,claklw,NA,14_5
354,14,6,SandyR Spt,COLRIV,colrlh,NA,14_6
361,14,1,LCRWaT Spt,COLRIV,colreh,1,14_1
361,14,2,LCRWaT Spt,COLRIV,youngh,NA,14_2
361,14,3,LCRWaT Spt,COLRIV,sandew,NA,14_3
361,14,4,LCRWaT Spt,COLRIV,clakew,NA,14_4
361,14,5,LCRWaT Spt,COLRIV,claklw,NA,14_5
361,14,6,LCRWaT Spt,COLRIV,colrlh,1,14_6
381,14,1,UpColR Spt,COLRIV,colreh,1,14_1
381,14,2,UpColR Spt,COLRIV,youngh,NA,14_2
381,14,3,UpColR Spt,COLRIV,sandew,NA,14_3
381,14,4,UpColR Spt,COLRIV,clakew,NA,14_4
381,14,5,UpColR Spt,COLRIV,claklw,NA,14_5
381,14,6,UpColR Spt,COLRIV,colrlh,NA,14_6
391,14,1,UpColR Net,COLRIV,colreh,1,14_1
391,14,2,UpColR Net,COLRIV,youngh,NA,14_2
391,14,3,UpColR Net,COLRIV,sandew,NA,14_3
391,14,4,UpColR Net,COLRIV,clakew,NA,14_4
391,14,5,UpColR Net,COLRIV,claklw,NA,14_5
391,14,6,UpColR Net,COLRIV,colrlh,NA,14_6
441,13,1,Willpa Spt,WILLAP,willaw,1,13_1
441,13,2,Willpa Spt,WILLAP,willah,1,13_2
443,13,1,Wlp Tb Spt,WILLAP,willaw,1,13_1
443,13,2,Wlp Tb Spt,WILLAP,willah,1,13_2
446,13,1,WlpaBT Net,WILLAP,willaw,1,13_1
446,13,2,WlpaBT Net,WILLAP,willah,1,13_2
451,12,1,GryHbr Spt,GRAYHB,chehlw,1,12_1
451,12,2,GryHbr Spt,GRAYHB,chehlh,1,12_2
451,12,3,GryHbr Spt,GRAYHB,humptw,1,12_3
451,12,4,GryHbr Spt,GRAYHB,humpth,1,12_4
451,12,5,GryHbr Spt,GRAYHB,gryhmw,1,12_5
451,12,6,GryHbr Spt,GRAYHB,gryhbh,1,12_6
453,12,1,SGryHb Spt,GRAYHB,chehlw,NA,12_1
453,12,2,SGryHb Spt,GRAYHB,chehlh,NA,12_2
453,12,3,SGryHb Spt,GRAYHB,humptw,NA,12_3
453,12,4,SGryHb Spt,GRAYHB,humpth,NA,12_4
453,12,5,SGryHb Spt,GRAYHB,gryhmw,NA,12_5
453,12,6,SGryHb Spt,GRAYHB,gryhbh,1,12_6
455,12,1,GryHbr Net,GRAYHB,chehlw,1,12_1
455,12,2,GryHbr Net,GRAYHB,chehlh,1,12_2
455,12,3,GryHbr Net,GRAYHB,humptw,1,12_3
455,12,4,GryHbr Net,GRAYHB,humpth,1,12_4
455,12,5,GryHbr Net,GRAYHB,gryhmw,1,12_5
455,12,6,GryHbr Net,GRAYHB,gryhbh,1,12_6
456,12,1,Hump R Spt,GRAYHB,chehlw,NA,12_1
456,12,2,Hump R Spt,GRAYHB,chehlh,NA,12_2
456,12,3,Hump R Spt,GRAYHB,humptw,1,12_3
456,12,4,Hump R Spt,GRAYHB,humpth,1,12_4
456,12,5,Hump R Spt,GRAYHB,gryhmw,NA,12_5
456,12,6,Hump R Spt,GRAYHB,gryhbh,NA,12_6
461,12,1,Hump R Net,GRAYHB,chehlw,NA,12_1
461,12,2,Hump R Net,GRAYHB,chehlh,NA,12_2
461,12,3,Hump R Net,GRAYHB,humptw,1,12_3
461,12,4,Hump R Net,GRAYHB,humpth,1,12_4
461,12,5,Hump R Net,GRAYHB,gryhmw,NA,12_5
461,12,6,Hump R Net,GRAYHB,gryhbh,NA,12_6
458,12,1,Hump R C&S,GRAYHB,chehlw,NA,12_1
458,12,2,Hump R C&S,GRAYHB,chehlh,NA,12_2
458,12,3,Hump R C&S,GRAYHB,humptw,1,12_3
458,12,4,Hump R C&S,GRAYHB,humpth,1,12_4
458,12,5,Hump R C&S,GRAYHB,gryhmw,NA,12_5
458,12,6,Hump R C&S,GRAYHB,gryhbh,NA,12_6
460,12,1,Chehal Spt,GRAYHB,chehlw,1,12_1
460,12,2,Chehal Spt,GRAYHB,chehlh,1,12_2
460,12,3,Chehal Spt,GRAYHB,humptw,NA,12_3
460,12,4,Chehal Spt,GRAYHB,humpth,NA,12_4
460,12,5,Chehal Spt,GRAYHB,gryhmw,NA,12_5
460,12,6,Chehal Spt,GRAYHB,gryhbh,NA,12_6
457,12,1,LwCheh Net,GRAYHB,chehlw,1,12_1
457,12,2,LwCheh Net,GRAYHB,chehlh,1,12_2
457,12,3,LwCheh Net,GRAYHB,humptw,NA,12_3
457,12,4,LwCheh Net,GRAYHB,humpth,NA,12_4
457,12,5,LwCheh Net,GRAYHB,gryhmw,NA,12_5
457,12,6,LwCheh Net,GRAYHB,gryhbh,NA,12_6
462,12,1,UpCheh Net,GRAYHB,chehlw,1,12_1
462,12,2,UpCheh Net,GRAYHB,chehlh,1,12_2
462,12,3,UpCheh Net,GRAYHB,humptw,NA,12_3
462,12,4,UpCheh Net,GRAYHB,humpth,NA,12_4
462,12,5,UpCheh Net,GRAYHB,gryhmw,NA,12_5
462,12,6,UpCheh Net,GRAYHB,gryhbh,NA,12_6
463,12,1,Chehal C&S,GRAYHB,chehlw,1,12_1
463,12,2,Chehal C&S,GRAYHB,chehlh,1,12_2
463,12,3,Chehal C&S,GRAYHB,humptw,NA,12_3
463,12,4,Chehal C&S,GRAYHB,humpth,NA,12_4
463,12,5,Chehal C&S,GRAYHB,gryhmw,NA,12_5
463,12,6,Chehal C&S,GRAYHB,gryhbh,NA,12_6
464,12,1,Wynoch Spt,GRAYHB,chehlw,1,12_1
464,12,2,Wynoch Spt,GRAYHB,chehlh,NA,12_2
464,12,3,Wynoch Spt,GRAYHB,humptw,NA,12_3
464,12,4,Wynoch Spt,GRAYHB,humpth,NA,12_4
464,12,5,Wynoch Spt,GRAYHB,gryhmw,NA,12_5
464,12,6,Wynoch Spt,GRAYHB,gryhbh,NA,12_6
465,12,1,Hoquam Spt,GRAYHB,chehlw,NA,12_1
465,12,2,Hoquam Spt,GRAYHB,chehlh,NA,12_2
465,12,3,Hoquam Spt,GRAYHB,humptw,NA,12_3
465,12,4,Hoquam Spt,GRAYHB,humpth,NA,12_4
465,12,5,Hoquam Spt,GRAYHB,gryhmw,1,12_5
465,12,6,Hoquam Spt,GRAYHB,gryhbh,NA,12_6
466,12,1,Wishkh Spt,GRAYHB,chehlw,NA,12_1
466,12,2,Wishkh Spt,GRAYHB,chehlh,NA,12_2
466,12,3,Wishkh Spt,GRAYHB,humptw,NA,12_3
466,12,4,Wishkh Spt,GRAYHB,humpth,NA,12_4
466,12,5,Wishkh Spt,GRAYHB,gryhmw,1,12_5
466,12,6,Wishkh Spt,GRAYHB,gryhbh,NA,12_6
467,12,1,Satsop Spt,GRAYHB,chehlw,1,12_1
467,12,2,Satsop Spt,GRAYHB,chehlh,1,12_2
467,12,3,Satsop Spt,GRAYHB,humptw,NA,12_3
467,12,4,Satsop Spt,GRAYHB,humpth,NA,12_4
467,12,5,Satsop Spt,GRAYHB,gryhmw,NA,12_5
467,12,6,Satsop Spt,GRAYHB,gryhbh,NA,12_6
471,11,1,Quin R Spt,QUINLT,quinfw,1,11_1
471,11,2,Quin R Spt,QUINLT,quinfh,1,11_2
475,11,1,Quin R Net,QUINLT,quinfw,1,11_1
475,11,2,Quin R Net,QUINLT,quinfh,1,11_2
477,11,1,Quin R C&S,QUINLT,quinfw,1,11_1
477,11,2,Quin R C&S,QUINLT,quinfh,1,11_2
478,10,1,Queets Spt,QUEETS,quetfw,1,10_1
478,10,2,Queets Spt,QUEETS,quetfh,1,10_2
478,10,3,Queets Spt,QUEETS,quetph,1,10_3
480,10,1,Clrwtr Spt,QUEETS,quetfw,1,10_1
480,10,2,Clrwtr Spt,QUEETS,quetfh,1,10_2
480,10,3,Clrwtr Spt,QUEETS,quetph,1,10_3
481,10,1,Salm R Spt,QUEETS,quetfw,1,10_1
481,10,2,Salm R Spt,QUEETS,quetfh,1,10_2
481,10,3,Salm R Spt,QUEETS,quetph,1,10_3
482,10,1,Queets Net,QUEETS,quetfw,1,10_1
482,10,2,Queets Net,QUEETS,quetfh,1,10_2
482,10,3,Queets Net,QUEETS,quetph,1,10_3
483,10,1,Queets C&S,QUEETS,quetfw,1,10_1
483,10,2,Queets C&S,QUEETS,quetfh,1,10_2
483,10,3,Queets C&S,QUEETS,quetph,1,10_3
487,8,1,Quilly Net,QUILUT,quilsw,1,8_1
487,8,2,Quilly Net,QUILUT,quilsh,1,8_2
487,8,3,Quilly Net,QUILUT,quilfw,1,8_3
487,8,4,Quilly Net,QUILUT,quilfh,1,8_4
489,8,1,Quilly C&S,QUILUT,quilsw,NA,8_1
489,8,2,Quilly C&S,QUILUT,quilsh,NA,8_2
489,8,3,Quilly C&S,QUILUT,quilfw,1,8_3
489,8,4,Quilly C&S,QUILUT,quilfh,1,8_4
490,9,1,Hoh R  Spt,HOHRIV,hohrvw,1,9_1
490,9,2,Hoh R  Spt,HOHRIV,hohrvh,1,9_2
493,9,1,Hoh R  Net,HOHRIV,hohrvw,1,9_1
493,9,2,Hoh R  Net,HOHRIV,hohrvh,1,9_2
495,9,1,Hoh R  C&S,HOHRIV,hohrvw,1,9_1
495,9,2,Hoh R  C&S,HOHRIV,hohrvh,1,9_2
496,7,1,Mak FW Spt,MAKAHC,makahw,1,7_1
496,7,2,Mak FW Spt,MAKAHC,makahh,1,7_2
497,7,1,Mak FW Net,MAKAHC,makahw,1,7_1
497,7,2,Mak FW Net,MAKAHC,makahh,1,7_2
498,7,1,Makah  C&S,MAKAHC,makahw,1,7_1
498,7,2,Makah  C&S,MAKAHC,makahh,1,7_2
505,6,1,6D-DgR Net,SJDFCA,dungew,1,6_1
505,6,2,6D-DgR Net,SJDFCA,dungeh,1,6_2
505,6,3,6D-DgR Net,SJDFCA,elwhaw,NA,6_3
505,6,4,6D-DgR Net,SJDFCA,elwhah,NA,6_4
505,6,5,6D-DgR Net,SJDFCA,ejdfmw,NA,6_5
505,6,6,6D-DgR Net,SJDFCA,wjdfmw,NA,6_6
505,6,7,6D-DgR Net,SJDFCA,ptangh,NA,6_7
505,6,8,6D-DgR Net,SJDFCA,area9w,NA,6_8
506,6,1,Elwha  Net,SJDFCA,dungew,NA,6_1
506,6,2,Elwha  Net,SJDFCA,dungeh,NA,6_2
506,6,3,Elwha  Net,SJDFCA,elwhaw,1,6_3
506,6,4,Elwha  Net,SJDFCA,elwhah,1,6_4
506,6,5,Elwha  Net,SJDFCA,ejdfmw,NA,6_5
506,6,6,Elwha  Net,SJDFCA,wjdfmw,NA,6_6
506,6,7,Elwha  Net,SJDFCA,ptangh,NA,6_7
506,6,8,Elwha  Net,SJDFCA,area9w,NA,6_8
507,6,1,WJDF T Net,SJDFCA,dungew,NA,6_1
507,6,2,WJDF T Net,SJDFCA,dungeh,NA,6_2
507,6,3,WJDF T Net,SJDFCA,elwhaw,NA,6_3
507,6,4,WJDF T Net,SJDFCA,elwhah,NA,6_4
507,6,5,WJDF T Net,SJDFCA,ejdfmw,NA,6_5
507,6,6,WJDF T Net,SJDFCA,wjdfmw,1,6_6
507,6,7,WJDF T Net,SJDFCA,ptangh,NA,6_7
507,6,8,WJDF T Net,SJDFCA,area9w,NA,6_8
509,6,1,EJDF T Net,SJDFCA,dungew,NA,6_1
509,6,2,EJDF T Net,SJDFCA,dungeh,NA,6_2
509,6,3,EJDF T Net,SJDFCA,elwhaw,NA,6_3
509,6,4,EJDF T Net,SJDFCA,elwhah,NA,6_4
509,6,5,EJDF T Net,SJDFCA,ejdfmw,1,6_5
509,6,6,EJDF T Net,SJDFCA,wjdfmw,NA,6_6
509,6,7,EJDF T Net,SJDFCA,ptangh,NA,6_7
509,6,8,EJDF T Net,SJDFCA,area9w,NA,6_8
523,6,1,EJDF FWSpt,SJDFCA,dungew,NA,6_1
523,6,2,EJDF FWSpt,SJDFCA,dungeh,NA,6_2
523,6,3,EJDF FWSpt,SJDFCA,elwhaw,NA,6_3
523,6,4,EJDF FWSpt,SJDFCA,elwhah,NA,6_4
523,6,5,EJDF FWSpt,SJDFCA,ejdfmw,1,6_5
523,6,6,EJDF FWSpt,SJDFCA,wjdfmw,NA,6_6
523,6,7,EJDF FWSpt,SJDFCA,ptangh,NA,6_7
523,6,8,EJDF FWSpt,SJDFCA,area9w,NA,6_8
524,6,1,WJDF FWSpt,SJDFCA,dungew,NA,6_1
524,6,2,WJDF FWSpt,SJDFCA,dungeh,NA,6_2
524,6,3,WJDF FWSpt,SJDFCA,elwhaw,NA,6_3
524,6,4,WJDF FWSpt,SJDFCA,elwhah,NA,6_4
524,6,5,WJDF FWSpt,SJDFCA,ejdfmw,NA,6_5
524,6,6,WJDF FWSpt,SJDFCA,wjdfmw,1,6_6
524,6,7,WJDF FWSpt,SJDFCA,ptangh,NA,6_7
524,6,8,WJDF FWSpt,SJDFCA,area9w,NA,6_8
528,6,1,Dung R Spt,SJDFCA,dungew,1,6_1
528,6,2,Dung R Spt,SJDFCA,dungeh,1,6_2
528,6,3,Dung R Spt,SJDFCA,elwhaw,NA,6_3
528,6,4,Dung R Spt,SJDFCA,elwhah,NA,6_4
528,6,5,Dung R Spt,SJDFCA,ejdfmw,NA,6_5
528,6,6,Dung R Spt,SJDFCA,wjdfmw,NA,6_6
528,6,7,Dung R Spt,SJDFCA,ptangh,NA,6_7
528,6,8,Dung R Spt,SJDFCA,area9w,NA,6_8
529,6,1,ElwhaR Spt,SJDFCA,dungew,NA,6_1
529,6,2,ElwhaR Spt,SJDFCA,dungeh,NA,6_2
529,6,3,ElwhaR Spt,SJDFCA,elwhaw,1,6_3
529,6,4,ElwhaR Spt,SJDFCA,elwhah,1,6_4
529,6,5,ElwhaR Spt,SJDFCA,ejdfmw,NA,6_5
529,6,6,ElwhaR Spt,SJDFCA,wjdfmw,NA,6_6
529,6,7,ElwhaR Spt,SJDFCA,ptangh,NA,6_7
529,6,8,ElwhaR Spt,SJDFCA,area9w,NA,6_8
531,1,1,7B-7D  Net,NOOKSM,nkskrw,1,1_1
531,1,2,7B-7D  Net,NOOKSM,kendlh,1,1_2
531,1,3,7B-7D  Net,NOOKSM,skokmh,1,1_3
531,1,4,7B-7D  Net,NOOKSM,lumpdh,1,1_4
531,1,5,7B-7D  Net,NOOKSM,bhambh,1,1_5
531,1,6,7B-7D  Net,NOOKSM,samshw,1,1_6
531,1,7,7B-7D  Net,NOOKSM,ar77aw,NA,1_7
531,1,8,7B-7D  Net,NOOKSM,whatch,1,1_8
